# authority: IEEE Std 1003.1-2017 and The Open Group Base Specifications Issue 7, 2018 edition
# source: susv4-2018/utilities/V3_chap02.html
# derivation: every prose, list, and definition assertion in each selected parent section, excluding Examples sections
# snapshot-count: 724
# ordered-requirement-sha256: da00cbb9b7af9b288ad1ae2e533a0c5076e3729b0068a176e968cb36f41ae6c3
# state invariant: every recursive requirement is exactly open or closed and every open row has a falsifier
requirement	parent	ordinal	assertion	assertion_sha256	implementation_requirement	state	witness	next_action	falsifier
tag_18_01.r001	tag_18_01	1	The shell is a command language interpreter. This chapter describes the syntax of that command language as it is used by the sh utility and the system() and popen() functions defined in the System Interfaces volume of POSIX.1-2017.	c0e542552ee875872ba3e3cfa16506de3b391bbffd00c3f363ec8b57cfd39d8b	Preserve the shell input-to-command lifecycle for simple and compound commands, redirections, functions, built-ins, scripts, waiting, and status collection.	open	missing:tag_18_01.r001_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_01.r001.
tag_18_01.r002	tag_18_01	2	The shell operates according to the following general overview of operations. The specific details are included in the cited sections of this chapter.	01b5a8ad871cafab58aef24f28a6fc915614b00e0f125ad754096639cb068818	Preserve the shell input-to-command lifecycle for simple and compound commands, redirections, functions, built-ins, scripts, waiting, and status collection.	open	missing:tag_18_01.r002_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_01.r002.
tag_18_01.r003	tag_18_01	3	The shell reads its input from a file (see sh), from the -c option or from the system() and popen() functions defined in the System Interfaces volume of POSIX.1-2017. If the first line of a file of shell commands starts with the characters "#!", the results are unspecified.	7b3d51900c163ece2327b9c7496f84c0493ea2c687a5a3affb5766401a70d142	Preserve the shell input-to-command lifecycle for simple and compound commands, redirections, functions, built-ins, scripts, waiting, and status collection.	open	missing:tag_18_01.r003_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_01.r003.
tag_18_01.r004	tag_18_01	4	The shell breaks the input into tokens: words and operators; see Token Recognition.	a61f9b89cc057c8919ab0b32d6e3fbd21583ad1464eb7fb6d9d17f1632b12b1f	Preserve the shell input-to-command lifecycle for simple and compound commands, redirections, functions, built-ins, scripts, waiting, and status collection.	open	missing:tag_18_01.r004_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_01.r004.
tag_18_01.r005	tag_18_01	5	The shell parses the input into simple commands (see Simple Commands) and compound commands (see Compound Commands).	e8666b23372804b2061a4f0635d3c5459198c8b3d318db38e486ec677dedcd87	Preserve the shell input-to-command lifecycle for simple and compound commands, redirections, functions, built-ins, scripts, waiting, and status collection.	open	missing:tag_18_01.r005_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_01.r005.
tag_18_01.r006	tag_18_01	6	The shell performs various expansions (separately) on different parts of each command, resulting in a list of pathnames and fields to be treated as a command and arguments; see wordexp.	6af7e530a51c27a69a307a921e820a214eba3f45a64aab7a32b6c19cf1e32963	Preserve the shell input-to-command lifecycle for simple and compound commands, redirections, functions, built-ins, scripts, waiting, and status collection.	open	missing:tag_18_01.r006_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_01.r006.
tag_18_01.r007	tag_18_01	7	The shell performs redirection (see Redirection) and removes redirection operators and their operands from the parameter list.	99100a2d55f3d81cd54f941a594e8cfecf9c880fd973c0113102278a6da49af3	Preserve the shell input-to-command lifecycle for simple and compound commands, redirections, functions, built-ins, scripts, waiting, and status collection.	open	missing:tag_18_01.r007_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_01.r007.
tag_18_01.r008	tag_18_01	8	The shell executes a function (see Function Definition Command), built-in (see Special Built-In Utilities), executable file, or script, giving the names of the arguments as positional parameters numbered 1 to n, and the name of the command (or in the case of a function within a script, the name of the script) as the positional parameter numbered 0 (see Command Search and Execution).	b3ea7a913a99e79e5e4a19fa3a6b8abb449bc2eed65be68892dc7780093a1674	Preserve the shell input-to-command lifecycle for simple and compound commands, redirections, functions, built-ins, scripts, waiting, and status collection.	open	missing:tag_18_01.r008_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_01.r008.
tag_18_01.r009	tag_18_01	9	The shell optionally waits for the command to complete and collects the exit status (see Exit Status for Commands).	d640d2b8080e3c78d22524660766e255c6332119fe083cf96bc828d273d9a6a5	Preserve the shell input-to-command lifecycle for simple and compound commands, redirections, functions, built-ins, scripts, waiting, and status collection.	open	missing:tag_18_01.r009_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_01.r009.
tag_18_02.r001	tag_18_02	1	Quoting is used to remove the special meaning of certain characters or words to the shell. Quoting can be used to preserve the literal meaning of the special characters in the next paragraph, prevent reserved words from being recognized as such, and prevent parameter expansion and command substitution within here-document processing (see Here-Document).	7d9399d3d2ac74fd08dbec2f8469e43e8f1e0bdd135b740d3afd4466ea9b4a77	Preserve quoting boundaries and the specified backslash, single-quote, double-quote, command-substitution, and here-document interactions.	open	missing:tag_18_02.r001_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_02.r001.
tag_18_02.r002	tag_18_02	2	The application shall quote the following characters if they are to represent themselves:	47e5526df8d406d8e859bb8ec4afe56695b050e2c78f1f7b0fc22235f8761b46	Preserve quoting boundaries and the specified backslash, single-quote, double-quote, command-substitution, and here-document interactions.	open	missing:tag_18_02.r002_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_02.r002.
tag_18_02.r003	tag_18_02	3	and the following may need to be quoted under certain circumstances. That is, these characters may be special depending on conditions described elsewhere in this volume of POSIX.1-2017:	acaaa1f2d9aabd87f0428e9dd41ee53e80826f4ef8ced16feb9657e4422b06cd	Preserve quoting boundaries and the specified backslash, single-quote, double-quote, command-substitution, and here-document interactions.	open	missing:tag_18_02.r003_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_02.r003.
tag_18_02.r004	tag_18_02	4	The various quoting mechanisms are the escape character, single-quotes, and double-quotes. The here-document represents another form of quoting; see Here-Document.	d33b249023ed95c665831618ccdc54acae4c71bc576ca2db3ea6bf5fa2d86308	Preserve quoting boundaries and the specified backslash, single-quote, double-quote, command-substitution, and here-document interactions.	open	missing:tag_18_02.r004_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_02.r004.
tag_18_02.r005	tag_18_02	5	A <backslash> that is not quoted shall preserve the literal value of the following character, with the exception of a <newline>. If a <newline> follows the <backslash>, the shell shall interpret this as line continuation. The <backslash> and <newline> shall be removed before splitting the input into tokens. Since the escaped <newline> is removed entirely from the input and is not replaced by any white space, it cannot serve as a token separator.	6a3051d25ac2e8036faede5674126a23082c7eecb6cec7bddf497a369f558291	Preserve quoting boundaries and the specified backslash, single-quote, double-quote, command-substitution, and here-document interactions.	open	missing:tag_18_02.r005_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_02.r005.
tag_18_02.r006	tag_18_02	6	Enclosing characters in single-quotes ( '' ) shall preserve the literal value of each character within the single-quotes. A single-quote cannot occur within single-quotes.	e0ba8748f5730de0a7dfbe428ea27cf6b02775502ca58563b74472225198a886	Preserve quoting boundaries and the specified backslash, single-quote, double-quote, command-substitution, and here-document interactions.	open	missing:tag_18_02.r006_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_02.r006.
tag_18_02.r007	tag_18_02	7	Enclosing characters in double-quotes ( "" ) shall preserve the literal value of all characters within the double-quotes, with the exception of the characters backquote, <dollar-sign>, and <backslash>, as follows:	ae1ee50fc0bd77825f7c4b842dcc23a485c8801fd0492876f6820eb401b3a72c	Preserve quoting boundaries and the specified backslash, single-quote, double-quote, command-substitution, and here-document interactions.	open	missing:tag_18_02.r007_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_02.r007.
tag_18_02.r008	tag_18_02	8	$	09fc96082d34c2dfc1295d92073b5ea1dc8ef8da95f14dfded011ffb96d3e54b	Preserve quoting boundaries and the specified backslash, single-quote, double-quote, command-substitution, and here-document interactions.	open	missing:tag_18_02.r008_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_02.r008.
tag_18_02.r009	tag_18_02	9	The <dollar-sign> shall retain its special meaning introducing parameter expansion (see Parameter Expansion), a form of command substitution (see Command Substitution), and arithmetic expansion (see Arithmetic Expansion). The input characters within the quoted string that are also enclosed between "$(" and the matching ')' shall not be affected by the double-quotes, but rather shall define that command whose output replaces the "$(...)" when the word is expanded. The tokenizing rules in Token Recognition, not including the alias substitutions in Alias Substitution, shall be applied recursively to find the matching ')'. Within the string of characters from an enclosed "${" to the matching '}', an even number of unescaped double-quotes or single-quotes, if any, shall occur. A preceding <backslash> character shall be used to escape a literal '{' or '}'. The rule in Parameter Expansion shall be used to determine the matching '}'.	8d778b9ba70331acb3a158985d046fa26d781835b3f068aeaf881d210a1f008a	Preserve quoting boundaries and the specified backslash, single-quote, double-quote, command-substitution, and here-document interactions.	open	missing:tag_18_02.r009_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_02.r009.
